date,Y
2004-01-29,33.89
2004-02-04,34.51
2004-02-12,35.45
2004-02-19,33.61
2004-02-26,33.41
2004-03-03,33.88
2004-03-10,35.54
2004-03-18,36.08
2004-03-25,36.67
2004-04-01,36.44
2004-04-07,37.78
2004-04-15,36.65
2004-04-22,35.23
2004-04-29,35.7
2004-05-05,37.39
2004-05-13,37.32
2004-05-20,37.31
2004-05-27,39.24
2004-06-02,40.37
2004-06-10,40.84
2004-06-17,40.65
2004-06-24,40.01
2004-07-01,37.99
2004-07-07,37.86
2004-07-15,37.7
2004-07-22,37.14
2004-07-29,39.73
2004-08-04,40.33
2004-08-12,41.27
2004-08-19,42.5
2004-08-26,43.81
2004-09-01,45.24
2004-09-09,47.28
2004-09-16,44.34
2004-09-23,43.28
2004-09-30,43.33
2004-10-06,44.39
2004-10-14,47.82
2004-10-21,49.71
2004-10-28,51.77
2004-11-03,54.12
2004-11-11,54.43
2004-11-18,53.43
2004-11-25,49.81
2004-12-01,48
2004-12-09,47.02
2004-12-16,48.79
2004-12-23,46.06
2005-01-01,41.91
2005-01-07,43.5
2005-01-15,44.39
2005-01-22,42.52
2005-01-29,44.07
2005-02-04,46.79
2005-02-12,47.85
2005-02-19,48.56
2005-02-26,46.97
2005-03-04,46.08
2005-03-12,47.82
2005-03-19,51.75
2005-03-26,52.74
2005-04-02,54.22
2005-04-08,55.93
2005-04-16,52.95
2005-04-23,54.97
2005-04-30,55.24
2005-05-06,51.44
2005-05-14,52.39
2005-05-21,52
2005-05-28,50.64
2005-06-03,50.33
2005-06-11,47.77
2005-06-18,50.15
2005-06-25,53.76
2005-07-02,53.74
2005-07-08,56.18
2005-07-16,59.04
2005-07-23,58.21
2005-07-30,60.36
2005-08-05,59.18
2005-08-13,57.3
2005-08-20,59.39
2005-08-27,61.64
2005-09-02,64.85
2005-09-10,64.92
2005-09-17,66.34
2005-09-24,68.47
2005-10-01,64.81
2005-10-07,63.84
2005-10-15,66.43
2005-10-22,66.06
2005-10-29,63.06
2005-11-04,62.87
2005-11-12,62.28
2005-11-19,61.33
2005-11-26,60.34
2005-12-02,58.8
2005-12-10,57
2005-12-17,58.13
2005-12-24,57.78
2006-01-01,59.83
2006-01-07,60.32
2006-01-15,57.97
2006-01-22,59.82
2006-01-29,63.39
2006-02-04,63.74
2006-02-12,66.79
2006-02-19,66.82
2006-02-26,66.59
2006-03-04,63.06
2006-03-12,59.37
2006-03-19,59.93
2006-03-26,62.27
2006-04-02,60.89
2006-04-09,62.64
2006-04-16,61.36
2006-04-23,65.67
2006-04-30,66.56
2006-05-06,68.85
2006-05-14,71.87
2006-05-21,70.38
2006-05-28,72.14
2006-06-03,71.5
2006-06-11,69.07
2006-06-18,70.35
2006-06-25,71.53
2006-07-02,71.54
2006-07-09,69.48
2006-07-16,69.94
2006-07-23,72.65
2006-07-30,74.65
2006-08-05,75.21
2006-08-13,73.98
2006-08-20,73.87
2006-08-27,75.2
2006-09-02,75.63
2006-09-10,71.79
2006-09-17,72.12
2006-09-24,70.01
2006-10-01,67.53
2006-10-08,63.98
2006-10-15,61.4
2006-10-22,61.94
2006-10-29,59.77
2006-11-04,58.58
2006-11-12,58.48
2006-11-19,58.88
2006-11-26,58.55
2006-12-02,59.96
2006-12-10,57.56
2006-12-17,57.24
2006-12-24,62.02
2007-01-01,62.32
2007-01-08,61.91
2007-01-15,62.4
2007-01-22,60.66
2007-01-29,57.76
2007-02-04,54.11
2007-02-12,51.51
2007-02-19,53.57
2007-02-26,57.11
2007-03-04,58.99
2007-03-12,58.41
2007-03-19,59.57
2007-03-26,61.64
2007-04-02,60.85
2007-04-09,57.94
2007-04-16,58.26
2007-04-23,64.18
2007-04-30,64.82
2007-05-06,62.58
2007-05-14,63.06
2007-05-21,65.26
2007-05-28,63.82
2007-06-03,61.9
2007-06-11,63.61
2007-06-18,64.89
2007-06-25,63.94
2007-07-02,65.9
2007-07-09,66.62
2007-07-16,68.78
2007-07-23,69.13
2007-07-30,71.78
2007-08-05,72.79
2007-08-13,74.92
2007-08-20,75.15
2007-08-27,76.75
2007-09-02,71.92
2007-09-10,72.05
2007-09-17,70.19
2007-09-24,72.93
2007-10-01,75.96
2007-10-08,78.95
2007-10-15,82.26
2007-10-22,81.7
2007-10-29,80.59
2007-11-04,81.46
2007-11-12,87.8
2007-11-19,89.23
2007-11-26,93.46
2007-12-02,95.81
2007-12-10,93.56
2007-12-17,97.93
2007-12-24,92.47
2008-01-01,88.71
2008-01-08,91.18
2008-01-15,91.16
2008-01-22,95.64
2008-01-29,98.17
2008-02-05,94.76
2008-02-12,91.51
2008-02-19,89.41
2008-02-26,91.14
2008-03-03,89.08
2008-03-11,94.13
2008-03-18,99.61
2008-03-25,100.84
2008-04-01,103.44
2008-04-08,109.35
2008-04-15,105.28
2008-04-22,104.49
2008-04-29,103.46
2008-05-06,109.71
2008-05-13,114.33
2008-05-20,118.53
2008-05-27,115.42
2008-06-02,123.01
2008-06-10,124.96
2008-06-17,130.14
2008-06-24,128.47
2008-07-01,128.16
2008-07-08,134.8
2008-07-15,134.34
2008-07-22,137
2008-07-29,142.52
2008-08-05,139.95
2008-08-12,135.37
2008-08-19,125.92
2008-08-26,124.57
2008-09-01,118.8
2008-09-09,114.4
2008-09-16,115.7
2008-09-23,116.09
2008-09-30,108.37
2008-10-07,102.88
2008-10-14,97.19
2008-10-21,111.12
2008-10-28,96.59
2008-11-04,86.24
2008-11-11,75.19
2008-11-18,68.56
2008-11-25,65.21
2008-12-01,64.31
2008-12-09,58.6
2008-12-16,52.26
2008-12-23,53.27
2009-01-01,45.6
2009-01-08,44.57
2009-01-15,39.7
2009-01-22,32.98
2009-01-29,42.4
2009-02-05,44.46
2009-02-12,36.73
2009-02-19,42.15
2009-02-26,42.7
2009-03-04,40.78
2009-03-12,36.94
2009-03-19,37.15
2009-03-26,41.1
2009-04-02,43.18
2009-04-09,45.66
2009-04-16,49.49
2009-04-23,52.99
2009-04-30,50.34
2009-05-07,50.46
2009-05-14,49.86
2009-05-21,47.8
2009-05-28,50.2
2009-06-03,55.96
2009-06-11,57.94
2009-06-18,60.32
2009-06-25,64.32
2009-07-02,68.11
2009-07-09,70.85
2009-07-16,70.62
2009-07-23,68.58
2009-07-30,69.32
2009-08-06,61.48
2009-08-13,61.29
2009-08-20,65.28
2009-08-27,67.03
2009-09-03,71.58
2009-09-10,69.64
2009-09-17,70.8
2009-09-24,72.37
2009-10-01,68.39
2009-10-08,70.91
2009-10-15,71.32
2009-10-22,68.33
2009-10-29,68.84
2009-11-05,70.8
2009-11-12,75.73
2009-11-19,80.06
2009-11-26,78.47
2009-12-03,79
2009-12-10,78.24
2009-12-17,78.37
2009-12-24,76.14
2010-01-01,76.81
2010-01-08,71.51
2010-01-15,71.72
2010-01-22,74.76
2010-01-29,79.07
2010-02-05,82.34
2010-02-12,80.06
2010-02-19,76.62
2010-02-26,73.94
2010-03-05,74.57
2010-03-12,73.88
2010-03-19,78.25
2010-03-26,79.22
2010-04-02,80.19
2010-04-09,81.76
2010-04-16,81.44
2010-04-23,80.65
2010-04-30,83.01
2010-05-07,85.66
2010-05-14,84.34
2010-05-21,82.9
2010-05-28,84.22
2010-06-04,80.24
2010-06-11,74.98
2010-06-18,69.14
